date,minutes
19-Sep,60
27-Sep,60
30-Sep,60
7-Oct,40
14-Oct,45
21-Oct,50
28-Oct,50
4-Nov,50
11-Nov,50
14-Nov,30
18-Nov,30
25-Nov,60
2-Dec,60
